Asperger综合征	zhengzhuang/aspergerzhz/
皮质素不足	zhengzhuang/pzsbz/
皮质下痴呆	zhengzhuang/pzxcd/
皮质性遗忘症	zhengzhuang/pzxywz/
疲乏	zhengzhuang/pf/
疲劳	zhengzhuang/pl/
啤酒肚	zhengzhuang/pjd/
脾大	zhengzhuang/pd/
脾功能亢进	zhengzhuang/pgnkj/
脾气虚	zhengzhuang/pqx/
脾肾阳虚	zhengzhuang/psyx/
脾湿	zhengzhuang/ps/
脾栓塞	zhengzhuang/pss/
脾萎缩	zhengzhuang/pws/
脾胃不和	zhengzhuang/pwbh/
脾胃湿热	zhengzhuang/pwsr/
脾胃虚寒	zhengzhuang/pwxh/
脾胃虚弱	zhengzhuang/pwxr/
脾虚	zhengzhuang/px/
脾阳虚	zhengzhuang/pyx/
脾肿大	zhengzhuang/pzd/
脾紫癜	zhengzhuang/pzd_3282/
偏侧空间忽略症	zhengzhuang/pckjhlz/
偏盲	zhengzhuang/pm/
偏盲偏身感觉障碍	zhengzhuang/pmpsgjza/
偏身肌张力障碍	zhengzhuang/psjzlza/
偏身麻木	zhengzhuang/psmm/
偏身萎缩	zhengzhuang/psws/
偏瘫	zhengzhuang/pt/
偏头痛	zhengzhuang/ptt/
偏斜骨盆	zhengzhuang/pxgp/
偏执型人格障碍	zhengzhuang/pzxrgza/
偏执性妄想	zhengzhuang/pzxwx/
偏执状态	zhengzhuang/pzzt/
胼胝体发育不良	zhengzhuang/pztfybl/
贫血	zhengzhuang/px_3296/
贫血貌	zhengzhuang/pxm/
频发房性早搏	zhengzhuang/pffxzb/
频发室性期前收缩	zhengzhuang/pfsxqqss/
频繁发笑	zhengzhuang/pffx/
频繁呕吐及便秘	zhengzhuang/pfotjbm/
频繁吐黏液	zhengzhuang/pftny/
频繁性惊醒	zhengzhuang/pfxjx/
频繁遗精	zhengzhuang/pfyj/
频吐白沫	zhengzhuang/ptbm/
品行障碍	zhengzhuang/pxza/
平衡功能障碍	zhengzhuang/phgnza/
平滑肌痉挛	zhengzhuang/phjjl/
平卧呼吸困难	zhengzhuang/pwhxkn/
迫害妄想	zhengzhuang/phwx/
扑翼样震颤	zhengzhuang/pyyzc/
铺路石样变性	zhengzhuang/plsybx/
葡萄膜炎	zhengzhuang/ptmy/
普秃	zhengzhuang/pt_3314/
蹼状瘢痕	zhengzhuang/pzbh/
QRS波宽大畸形	zhengzhuang/qrsbkdjx/
Q-T间期延长	zhengzhuang/q_tjqyc/
Q角异常	zhengzhuang/qjyc/
期外收缩	zhengzhuang/qwss/
漆裂样纹	zhengzhuang/qlyw/
奇脉	zhengzhuang/qm/
脐残端有少量黏液或脓性分泌物	zhengzhuang/qcdyslnyhnxfmw/
脐疮	zhengzhuang/qc/
脐带感染	zhengzhuang/qdgr/
脐带过短	zhengzhuang/qdgd/
脐带绕颈	zhengzhuang/qdrj/
脐轮红肿	zhengzhuang/qlhz/
脐湿	zhengzhuang/qs/
脐突	zhengzhuang/qt/
脐窝内有肉芽组织增生	zhengzhuang/qwnyryzzzs/
脐窝内有樱红色息肉样物	zhengzhuang/qwnyyhsxryw/
脐血	zhengzhuang/qx/
脐周明显红肿变硬	zhengzhuang/qzmxhzby/
脐周脓性分泌物较多	zhengzhuang/qznxfmwjd/
脐周疼痛	zhengzhuang/qztt/
脐周阵发性绞痛	zhengzhuang/qzzfxjt/
起搏频率增高	zhengzhuang/qbplzg/
气不摄血	zhengzhuang/qbsx/
气喘	zhengzhuang/qc_3339/
气道变窄	zhengzhuang/qdbz/
气道高反应性	zhengzhuang/qdgfyx/
气道和食管之间的瘘管	zhengzhuang/qdhsgzjdlg/
气道陷闭	zhengzhuang/qdxb/
气短	zhengzhuang/qd/
气腹征	zhengzhuang/qfz/
气管处可听到异物冲击的拍击声	zhengzhuang/qgcktdywcjdpjs/
气管和纵隔移位	zhengzhuang/qghzgyw/
气管间隙形成肿块	zhengzhuang/qgjxxczk/
气管隆突以上的损伤	zhengzhuang/qgltysdss/
中度吸入性损伤	zhengzhuang/zdxrxss/
气管受压	zhengzhuang/qgsy/
气管移位	zhengzhuang/qgyw/
气管纵隔和心脏向健侧移位	zhengzhuang/qgzghxzxjcyw/
气管阻塞	zhengzhuang/qgzs/
气过水声	zhengzhuang/qgss/
气机不畅	zhengzhuang/qjbc/
气机失调	zhengzhuang/qjsd/
气急	zhengzhuang/qj/
气上沖心	zhengzhuang/qscx/
气体弥散功能下降	zhengzhuang/qtmsgnxj/
气体弥散障碍	zhengzhuang/qtmsza/
气息异常	zhengzhuang/qxyc/
气胸	zhengzhuang/qx_3363/
气虚体质	zhengzhuang/qxtz/
气血凝滞	zhengzhuang/qxnz/
气血失和	zhengzhuang/qxsh/
气血虚弱	zhengzhuang/qxxr/
气压伤	zhengzhuang/qys/
气郁体质	zhengzhuang/qytz/
气滞血瘀	zhengzhuang/qzxy/
器质性精神障碍	zhengzhuang/qzxjsza/
器质性木僵	zhengzhuang/qzxmj/
器质性弱视	zhengzhuang/qzxrs/
器质性神经损害	zhengzhuang/qzxsjsh/
器质性早泄	zhengzhuang/qzxzx/
憩室出血	zhengzhuang/qscx_3376/
髂骨角增大	zhengzhuang/qgjzd/
髂窝部疼痛	zhengzhuang/qwbtt/
迁徙性浅静脉血栓形成	zhengzhuang/qxxqjmxsxc/
迁移性脓肿	zhengzhuang/qyxnz/
牵涉痛	zhengzhuang/qst/
牵涉性头痛	zhengzhuang/qsxtt/
牵引性头痛	zhengzhuang/qyxtt/
铅管样强直	zhengzhuang/qgyqz/
前臂短缩	zhengzhuang/qbds/
前臂和腕部的疼痛	zhengzhuang/qbhwbdtt/
前臂及手部肌群的缺血性挛缩	zhengzhuang/qbjsbjqdqxxls/
前臂外侧和手指触电样疼痛	zhengzhuang/qbwchszcdytt/
前臂外伤后疼痛	zhengzhuang/qbwshtt/
前臂细小	zhengzhuang/qbxx/
前臂旋后功能受限	zhengzhuang/qbxhgnsx/
前臂旋转痛	zhengzhuang/qbxzt/
前臂有旋前畸形	zhengzhuang/qbyxqjx/
前额及颧骨突出	zhengzhuang/qejqgtc/
前额头痛	zhengzhuang/qett/
前额针刺样痛或烧灼感	zhengzhuang/qezcythszg/
前房色素沉积	zhengzhuang/qfsscj/
前房下方有红色血平面	zhengzhuang/qfxfyhsxpm/
前房中肿胀的晶状体皮质颗粒	zhengzhuang/qfzzzdjztpzkl/
前列腺肥大	zhengzhuang/qlxfd/
前列腺分泌物含有许多脓缩细胞	zhengzhuang/qlxfmwhyxdnsxb/
前列腺钙化	zhengzhuang/qlxgh/
前列腺结石	zhengzhuang/qlxjs/
前列腺素合成减少	zhengzhuang/qlxshcjs/
前列腺缩小变硬	zhengzhuang/qlxsxby/
前列腺硬结	zhengzhuang/qlxyj/
前列腺增生	zhengzhuang/qlxzs/
前期妊娠反应	zhengzhuang/qqrsfy/
前庭反射消失	zhengzhuang/qtfsxs/
前庭神经受损	zhengzhuang/qtsjss/
前庭性共济失调	zhengzhuang/qtxgjsd/
前斜角肌肥厚痉挛	zhengzhuang/qxjjfhjl/
前囟饱满	zhengzhuang/qxbm/
前囟闭合延迟	zhengzhuang/qxbhyc/
前囟张力增高	zhengzhuang/qxzlzg/
潜在中毒	zhengzhuang/qzzd/
浅表淋巴结进行性肿大	zhengzhuang/qblbjjxxzd/
浅表淋巴结肿大	zhengzhuang/qblbjzd/
浅表性疤痕	zhengzhuang/qbxbh/
浅感觉减退或缺失	zhengzhuang/qgjjthqs/
浅昏迷	zhengzhuang/qhm/
浅筋膜炎	zhengzhuang/qjmy/
浅静脉有一发红低热的索状物	zhengzhuang/qjmyyfhdrdszw/
浅眠	zhengzhuang/qm_3424/
浅棕色斑点	zhengzhuang/qzsbd/
呛咳	zhengzhuang/qk/
强迫侧卧位	zhengzhuang/qpcww/
强迫蹲位	zhengzhuang/qpdw/
强迫俯卧位	zhengzhuang/qpfww/
强迫观念	zhengzhuang/qpgn/
强迫恐怖症	zhengzhuang/qpkbz/
强迫停立位	zhengzhuang/qptlw/
强迫行为	zhengzhuang/qpxw/
强迫型人格障碍	zhengzhuang/qpxrgza/
强直性脊柱炎	zhengzhuang/qzxjzy/
强迫性联想	zhengzhuang/qpxlx/
强迫性穷思竭虑	zhengzhuang/qpxqsjl/
强迫性人格	zhengzhuang/qpxrg/
强迫性神经官能症	zhengzhuang/qpxsjgnz/
强迫性体位	zhengzhuang/qpxtw/
强迫性头颈倾斜畸形	zhengzhuang/qpxtjqxjx/
强迫性头位	zhengzhuang/qpxtw_3442/
强迫性性行为	zhengzhuang/qpxxxw/
强迫性重复	zhengzhuang/qpxzf/
强迫仰卧位	zhengzhuang/qpyww/
强迫症	zhengzhuang/qpz/
强握反射	zhengzhuang/qwfs/
强笑	zhengzhuang/qx_3448/
强硬舌	zhengzhuang/qys_3449/
强直性肌张力增高	zhengzhuang/qzxjzlzg/
强制性哭笑	zhengzhuang/qzxkx/
强制性思维	zhengzhuang/qzxsw/
蔷薇疹样皮疹	zhengzhuang/qwzypz/
桥脑出血	zhengzhuang/qncx/
桥脑梗塞	zhengzhuang/qngs/
鞘膜积水	zhengzhuang/qmjs/
侵蚀性骨破坏	zhengzhuang/qsxgph/
侵蚀性水疱	zhengzhuang/qsxsp/
青春期肥胖	zhengzhuang/qcqfp/
青春期功血	zhengzhuang/qcqgx/
青春期后无精液	zhengzhuang/qcqhwjy/
青春期甲亢	zhengzhuang/qcqjk/
青春期身体发育缓慢	zhengzhuang/qcqstfyhm/
青春期胸部发育缓慢	zhengzhuang/qcqxbfyhm/
青春前期闭经	zhengzhuang/qcqqbj/
青春危险期	zhengzhuang/qcwxq/
青光眼斑	zhengzhuang/qgyb/
青红肤色	zhengzhuang/qhfs/
青红丘疹	zhengzhuang/qhqz/
青年白内障	zhengzhuang/qnbnz/
青少年白发	zhengzhuang/qsnbf/
青少年脊柱侧凸	zhengzhuang/qsnjzct/
青少年膝痛	zhengzhuang/qsnxt/
青枝骨折	zhengzhuang/qzgz/
青紫舌	zhengzhuang/qzs/
轻度精神发育迟滞	zhengzhuang/qdjsfycz/
轻度烧伤	zhengzhuang/qdss/
轻度痛	zhengzhuang/qdt/
轻度中毒	zhengzhuang/qdzd/
轻瘫	zhengzhuang/qt_3480/
轻压指甲，指头微红状不能马上恢复	zhengzhuang/qyzj_ztwhzbnmshf/
倾倒综合征	zhengzhuang/qdzhz/
清晨或上午头痛	zhengzhuang/qchswtt/
清晨早醒且不能再度入睡	zhengzhuang/qczxqbnzdrs/
情感暴发	zhengzhuang/qgbf/
情感淡漠	zhengzhuang/qgdm/
情感倒错	zhengzhuang/qgdc/
情感高涨	zhengzhuang/qggz/
情感麻痹	zhengzhuang/qgmb/
情感依赖	zhengzhuang/qgyl/
情景性晕厥	zhengzhuang/qjxyj/
情绪低落	zhengzhuang/qxdl/
情绪起伏大	zhengzhuang/qxqfd/
情绪性癌症	zhengzhuang/qxxaz/
情绪性多汗症	zhengzhuang/qxxdhz/
情绪性腹痛	zhengzhuang/qxxft/
情绪性感冒	zhengzhuang/qxxgm/
情绪性高血压	zhengzhuang/qxxgxy/
情绪性进食	zhengzhuang/qxxjs/
情绪性疲劳	zhengzhuang/qxxpl/
情绪性失眠	zhengzhuang/qxxsm/
情绪性头痛	zhengzhuang/qxxtt/
情绪性胃痛	zhengzhuang/qxxwt/
情绪性哮喘	zhengzhuang/qxxxc/
情绪性厌食	zhengzhuang/qxxys/
情志内伤	zhengzhuang/qzns/
氰化物烧伤及合并中毒	zhengzhuang/qhwssjhbzd/
丘脑出血	zhengzhuang/qncx_3508/
丘脑下部损害	zhengzhuang/qnxbsh/
丘疹	zhengzhuang/qz/
丘疹性痤疮	zhengzhuang/qzxcc/
秋季狂躁症	zhengzhuang/qjkzz/
球蛋白异常	zhengzhuang/qdbyc/
球后溃疡	zhengzhuang/qhky/
球后视神经炎	zhengzhuang/qhssjy/
曲棍球棒手	zhengzhuang/qgqbs/
屈光不正性弱视	zhengzhuang/qgbzxrs/
屈光参差性弱视	zhengzhuang/qgccxrs/
屈光介质混浊	zhengzhuang/qgjzhz/
屈髋屈膝及外旋畸形	zhengzhuang/qkqxjwxjx/
屈曲指	zhengzhuang/qqz/
屈伸不利	zhengzhuang/qsbl/
屈腕屈指无力	zhengzhuang/qwqzwl/
屈性截瘫	zhengzhuang/qxjt/
躯干畸形弯曲	zhengzhuang/qgjxwq/
躯体化障碍	zhengzhuang/qthza/
躯体或颜面某一局部的连续性抽动	zhengzhuang/qthymmyjbdlxxcd/
躯体形式疼痛障碍	zhengzhuang/qtxsttza/
躯体性疾病所致的精神障碍	zhengzhuang/qtxjbszdjsza/
躯体依赖性	zhengzhuang/qtylx/
躯体主诉增多	zhengzhuang/qtzszd/
去大脑强直	zhengzhuang/qdnqz/
去首高血压	zhengzhuang/qsgxy/
去质状态	zhengzhuang/qzzt/
全腹痛	zhengzhuang/qft/
全身持续性水肿	zhengzhuang/qscxxsz/
全身代谢低下	zhengzhuang/qsdxdx/
全身感染中毒症状	zhengzhuang/qsgrzdzz/
全身各脏器血流缓慢	zhengzhuang/qsgzqxlhm/
全身骨骼肌痉挛	zhengzhuang/qsggjjl/
全身骨骼肌收缩	zhengzhuang/qsggjss/
全身过敏反应	zhengzhuang/qsgmfy/
全身过敏和发热皮疹关节痛	zhengzhuang/qsgmhfrpzgjt/
全身肌张力障碍	zhengzhuang/qsjzlza/
全身紧束感	zhengzhuang/qsjsg/
全身毛发呈灰白色	zhengzhuang/qsmfchbs/
全身弥漫性潮红	zhengzhuang/qsmmxch/
全身皮肤充血	zhengzhuang/qspfcx/
全身皮肤粗厚	zhengzhuang/qspfch/
全身皮肤及粘膜呈现不同程度青紫色	zhengzhuang/qspfjzmcxbtcdqzs/
全身皮肤散在黑痣	zhengzhuang/qspfszhz/
全身衰竭	zhengzhuang/qssj/
全身消瘦型	zhengzhuang/qsxsx/
全身性血管损害	zhengzhuang/qsxxgsh/
全秃	zhengzhuang/qt_3555/
全血细胞减少	zhengzhuang/qxxbjs/
拳状手畸形	zhengzhuang/qzsjx/
醛固酮分泌增多	zhengzhuang/qgtfmzd/
颧红盗汗	zhengzhuang/qhdh/
颧面部塌陷	zhengzhuang/qmbtx/
犬吠样咳嗽	zhengzhuang/qfyks/
缺碘	zhengzhuang/qd_3562/
缺乏深睡眠	zhengzhuang/qfssm/
缺乏性的兴趣和性活动的要求	zhengzhuang/qfxdxqhxhddyq/
缺乏自控能力	zhengzhuang/qfzknl/
缺铁性贫血	zhengzhuang/qtxpx/
缺血性挛缩	zhengzhuang/qxxls/
缺氧缺血性神经损伤	zhengzhuang/qyqxxsjss/
缺智齿	zhengzhuang/qzc/
雀斑	zhengzhuang/qb/
栓状齿	zhengzhuang/szc/
纤维膜包裹	zhengzhuang/xwmbg/
小儿前囟凹陷	zhengzhuang/xeqxax/
颧骨额骨下陷	zhengzhuang/qgegxx/
染色体畸形	zhengzhuang/rstjx/
桡骨茎突部局限性疼痛	zhengzhuang/rgjtbjxxtt/
桡骨茎突剧痛	zhengzhuang/rgjtjt/
热痱	zhengzhuang/rf/
热结节	zhengzhuang/rjj/
热痉挛	zhengzhuang/rjl/
热衰竭	zhengzhuang/rsj/
热痰口臭	zhengzhuang/rtkc/
热痛	zhengzhuang/rt/
人格改变	zhengzhuang/rggb/
人格解体	zhengzhuang/rgjt/
人工流产术后出血	zhengzhuang/rglcshcx/
人中圆凸	zhengzhuang/rzyt/
认识能力缺失	zhengzhuang/rsnlqs/
认知功能损害	zhengzhuang/rzgnsh/
认知功能障碍	zhengzhuang/rzgnza/
认知神经功能丧失	zhengzhuang/rzsjgnss/
妊高征	zhengzhuang/rgz/
妊娠斑	zhengzhuang/rsb/
妊娠蛋白尿	zhengzhuang/rsdbn/
妊娠毒血症	zhengzhuang/rsdxz/
妊娠反应	zhengzhuang/rsfy/
妊娠高血压征	zhengzhuang/rsgxyz/
妊娠后期水肿	zhengzhuang/rshqsz/
妊娠期的生理变化	zhengzhuang/rsqdslbh/
妊娠期高血压	zhengzhuang/rsqgxy/
妊娠期急性脂肪肝	zhengzhuang/rsqjxzfg/
妊娠期间甲亢	zhengzhuang/rsqjjk/
妊娠期间小便不通	zhengzhuang/rsqjxbbt/
妊娠期胸痛	zhengzhuang/rsqxt/
妊娠期血糖高	zhengzhuang/rsqxtg/
妊娠时伴有腹痛的阴道流血	zhengzhuang/rssbyftdydlx/
妊娠时持续性腹痛或腰酸腰痛	zhengzhuang/rsscxxfthysyt/
妊娠时出现的多毛	zhengzhuang/rsscxddm/
妊娠时皮肤皱褶处小脓疱	zhengzhuang/rsspfzzcxnp/
妊娠晚期或临产时无痛性反复阴道流血	zhengzhuang/rswqhlcswtxffydlx/
妊娠性黄褐斑	zhengzhuang/rsxhhb/
妊娠痒疹	zhengzhuang/rsyz/
妊娠中毒	zhengzhuang/rszd/
韧带断裂	zhengzhuang/rddl/
韧带骨化	zhengzhuang/rdgh/
韧带拉伤	zhengzhuang/rdls/
韧带扭伤	zhengzhuang/rdns/
日常生活能力减退和行为异常	zhengzhuang/rcshnljthxwyc/
日光照射引起皮肤过敏	zhengzhuang/rgzsyqpfgm/
日轻夜重的瘙痒	zhengzhuang/rqyzdsy/
日晒斑	zhengzhuang/rsb_3621/
容貌逐渐变得粗笨	zhengzhuang/rmzjbdcb/
容易发生强迫性症状或疑病观念	zhengzhuang/ryfsqpxzzhybgn/
容易发生青肿	zhengzhuang/ryfsqz/
容易激动	zhengzhuang/ryjd/
容易上火	zhengzhuang/rysh/
溶骨性损害	zhengzhuang/rgxsh/
溶酶体酶缺陷	zhengzhuang/rmtmqx/
溶血	zhengzhuang/rx/
溶血性黄疸	zhengzhuang/rxxhd/
溶血性贫血	zhengzhuang/rxxpx/
肉芽肿	zhengzhuang/ryz/
濡脉	zhengzhuang/rm/
蠕动感	zhengzhuang/rdg/
乳白色尿	zhengzhuang/rbsn/
乳房肥大	zhengzhuang/rffd/
乳房和生殖器萎缩	zhengzhuang/rfhszqws/
乳房红肿热痛	zhengzhuang/rfhzrt/
乳房或乳头未发育	zhengzhuang/rfhrtwfy/
乳房巨大	zhengzhuang/rfjd/
乳房内光滑质韧的球形肿块	zhengzhuang/rfnghzrdqxzk/
乳房硬化	zhengzhuang/rfyh/
乳房早发育	zhengzhuang/rfzfy/
乳房胀痛	zhengzhuang/rfzt/
乳房肿块	zhengzhuang/rfzk/
乳房组织大块坏死	zhengzhuang/rfzzdkhs/
乳糜尿	zhengzhuang/rmn/
乳糜胸	zhengzhuang/rmx/
乳酸蓄积过多	zhengzhuang/rsxjgd/
乳糖耐受不良	zhengzhuang/rtnsbl/
乳痛症	zhengzhuang/rtz/
乳头发炎	zhengzhuang/rtfy/
乳头肥大	zhengzhuang/rtfd/
乳头肌断裂	zhengzhuang/rtjdl/
乳头皲裂	zhengzhuang/rtjl/
乳头内陷	zhengzhuang/rtnx/
乳头破碎	zhengzhuang/rtps/
乳头侵蚀	zhengzhuang/rtqs/
乳头湿疹	zhengzhuang/rtsz/
乳头样增生变化	zhengzhuang/rtyzsbh/
乳头溢出血性或棕色浆液性液体	zhengzhuang/rtycxxhzsjyxyt/
乳头溢液	zhengzhuang/rtyy/
乳头状肿物	zhengzhuang/rtzzw/
乳突炎	zhengzhuang/rty/
乳腺癌的远处转移	zhengzhuang/rxadyczy/
乳腺刺痛	zhengzhuang/rxct/
乳腺发育不良	zhengzhuang/rxfybl/
乳腺肥大	zhengzhuang/rxfd/
乳腺钙化	zhengzhuang/rxgh/
乳腺内无痛单发的硬肿块	zhengzhuang/rxnwtdfdyzk/
乳腺囊性增生	zhengzhuang/rxnxzs/
乳腺随月经出现胀痛	zhengzhuang/rxsyjcxzt/
乳腺退化不全	zhengzhuang/rxthbq/
乳腺外上象限腺体增厚	zhengzhuang/rxwsxxxtzh/
乳腺小叶增生	zhengzhuang/rxxyzs/
乳腺隐痛	zhengzhuang/rxyt/
乳腺胀痛	zhengzhuang/rxzt/
乳腺组织肥厚	zhengzhuang/rxzzfh/
乳溢一高泌乳素血症	zhengzhuang/ryygmrsxz/
乳晕深部可扪及肿块	zhengzhuang/rysbkmjzk/
乳汁分泌减少	zhengzhuang/rzfmjs/
乳汁淤积	zhengzhuang/rzyj/
乳汁郁结	zhengzhuang/rzyj_3683/
入球小动脉玻璃样变	zhengzhuang/rqxdmblyb/
入睡幻觉	zhengzhuang/rshj/
入睡困难	zhengzhuang/rskn/
入睡障碍性失眠	zhengzhuang/rszaxsm/
软产道裂伤	zhengzhuang/rcdls/
软产道异常	zhengzhuang/rcdyc/
软腭浅表溃疡	zhengzhuang/reqbky/
软腭疼痛	zhengzhuang/rett/
软腭有疤痕	zhengzhuang/reybh/
软腭运动不对称	zhengzhuang/reydbdc/
软骨内骨化	zhengzhuang/rgngh/
软组织感染	zhengzhuang/rzzgr/
软组织肿胀	zhengzhuang/rzzzz/
弱脉	zhengzhuang/rm_3697/
弱视眼的拥挤现象	zhengzhuang/rsydyjxx/
蜕膜残留	zhengzhuang/tmcl/
“三怕”(水声、光、风)现象	zhengzhuang/_sp__ss_g_f_xx/
“三偏”症	zhengzhuang/_sp_z/
SM累积量升高	zhengzhuang/smljlsg/
面部水肿	zhengzhuang/mbsz/
腮腺区肿大	zhengzhuang/sxqzd/
腮腺无痛性肿块	zhengzhuang/sxwtxzk/
腮腺肿大	zhengzhuang/sxzd/
腮腺肿胀	zhengzhuang/sxzz/
三凹征	zhengzhuang/saz/
三叉神经分布区麻木感	zhengzhuang/scsjfbqmmg/
三叉神经一二支分布区域疼痛	zhengzhuang/scsjyezfbqytt/
三峰热型	zhengzhuang/sfrx/
三尖瓣脱垂	zhengzhuang/sjbtc/
三尖瓣狭窄	zhengzhuang/sjbxz/
三尖瓣下移	zhengzhuang/sjbxy/
三角肌疼痛	zhengzhuang/sjjtt/
三角韧带损伤	zhengzhuang/sjrdss/
三角头畸形	zhengzhuang/sjtjx/
三联征	zhengzhuang/slz/
散脉	zhengzhuang/sm/
嗓音粗	zhengzhuang/syc/
丧偶后适应性障碍	zhengzhuang/sohsyxza/
瘙痒	zhengzhuang/sy/
色汗	zhengzhuang/sh/
色觉丧失	zhengzhuang/sjss/
色觉异常	zhengzhuang/sjyc/
色情行为	zhengzhuang/sqxw/
色素斑	zhengzhuang/ssb/
色素沉着与色素减退	zhengzhuang/ssczyssjt/
色素脱失	zhengzhuang/ssts/
色素性胆结石	zhengzhuang/ssxdjs/
色素性皮损	zhengzhuang/ssxps/
色素异常	zhengzhuang/ssyc/
涩脉	zhengzhuang/sm_3733/
傻笑	zhengzhuang/sx/
筛窦泪囊瘘	zhengzhuang/sdlnl/
闪电样痛	zhengzhuang/sdyt/
闪回	zhengzhuang/sh_3737/
疝区的疼痛或坠胀感	zhengzhuang/sqdtthzzg/
伤寒面容	zhengzhuang/shmr/
伤口感染	zhengzhuang/skgr/
伤口形成一个搏动性肿块	zhengzhuang/skxcygbdxzk/
伤口愈合发痒	zhengzhuang/skyhfy/
上半身代偿性多汗症	zhengzhuang/sbsdcxdhz/
上半身肥胖型	zhengzhuang/sbsfpx/
上半身热刺激性多汗	zhengzhuang/sbsrcjxdh/
上半身消瘦，下半身肥胖	zhengzhuang/sbsxs_xbsfp/
上臂短于前臂，小腿短于大腿	zhengzhuang/sbdyqb_xtdydt/
上唇变薄	zhengzhuang/scbb/
上唇肥厚	zhengzhuang/scfh/
上唇附近，鼻旁沟和眼睑的丘疹或结节	zhengzhuang/scfj_bpghyjdqzhjj/
上唇疖肿	zhengzhuang/scjz/
上肺纤维化明显	zhengzhuang/sfxwhmx/
上腹壁的中央线缺损	zhengzhuang/sfbdzyxqs/
上腹不适	zhengzhuang/sfbs/
上腹部包块	zhengzhuang/sfbbk/
上腹部疼痛	zhengzhuang/sfbtt/
上腹部肿块及腹胀	zhengzhuang/sfbzkjfz/
上腹及腰背部有“束带感”	zhengzhuang/sfjybby_sdg_/
上腹弥漫性压痛	zhengzhuang/sfmmxyt/
上腹囊性肿块	zhengzhuang/sfnxzk/
上呼吸道和口腔存在大量定植菌	zhengzhuang/shxdhkqczdldzj/
上呼吸道卡他症状	zhengzhuang/shxdktzz/
上呼吸道粘膜刺激症状	zhengzhuang/shxdzmcjzz/
上睑黄白色小点	zhengzhuang/sjhbsxd/
上睑下垂	zhengzhuang/sjxc/
上颈髓区病变	zhengzhuang/sjsqbb/
上列牙痛	zhengzhuang/slyt/
上尿路结构和功能损害	zhengzhuang/snljghgnsh/
上腔静脉回流受阻	zhengzhuang/sqjmhlsz/
上台阶困难	zhengzhuang/stjkn/
上消化道出血	zhengzhuang/sxhdcx/
上行性皮肤麻木	zhengzhuang/sxxpfmm/
上眼睑增厚松弛	zhengzhuang/syjzhsc/
上肢半屈状	zhengzhuang/szbqz/
上肢呈迟缓性麻痹	zhengzhuang/szcchxmb/
上肢及肩向下牵引或手拿重物时疼痛	zhengzhuang/szjjxxqyhsnzwstt/
上肢及面部血管曲张、水肿及青紫	zhengzhuang/szjmbxgqz_szjqz/
上肢麻木	zhengzhuang/szmm/
上肢水肿	zhengzhuang/szsz/
上肢突然出现肿胀酸痛	zhengzhuang/sztrcxzzst/
上肢外展上举困难	zhengzhuang/szwzsjkn/
上肢无力	zhengzhuang/szwl/
上肢周围性瘫痪	zhengzhuang/szzwxth/
烧伤创面暗灰或黑色的坏死斑	zhengzhuang/sscmahhhsdhsb/
烧伤创面苍白或焦黄炭化	zhengzhuang/sscmcbhjhth/
烧伤创面淡黄色粘稠分泌物	zhengzhuang/sscmdhszcfmw/
烧伤创面粪臭味分泌物	zhengzhuang/sscmfcwfmw/
烧伤创面焦痂提前潮解、脱落或出现虫咬样变化	zhengzhuang/sscmjjtqcj_tlhcxcyybh/
烧伤创面浅咖啡色稀薄分泌物	zhengzhuang/sscmqkfsxbfmw/
烧伤创面甜腥气味的粘稠分泌物	zhengzhuang/sscmtxqwdzcfmw/
烧伤后恶心与呕吐	zhengzhuang/sshexyot/
烧伤后口渴	zhengzhuang/sshkk/
烧伤后脉搏增速	zhengzhuang/sshmbzs/
烧伤后尿量减少	zhengzhuang/sshnljs/
烧心	zhengzhuang/sx_3795/
烧灼性疼痛	zhengzhuang/szxtt/
少儿脊柱侧凸	zhengzhuang/sejzct/
少尿	zhengzhuang/sn/
舌背中后部黑色丛毛	zhengzhuang/sbzhbhscm/
舌齿龈疼痛性粟粒至水疱	zhengzhuang/scyttxslzsp/
舌淡体胖	zhengzhuang/sdtp/
舌干苔厚	zhengzhuang/sgth/
舌根部脓肿	zhengzhuang/sgbnz/
舌骨区有肿胀压痛	zhengzhuang/sgqyzzyt/
舌肌麻痹	zhengzhuang/sjmb/
舌肌萎缩	zhengzhuang/sjws/
舌口及咽部烧灼感	zhengzhuang/skjybszg/
舌两侧边缘毛状白斑	zhengzhuang/slcbymzbb/
舌轻度外吐	zhengzhuang/sqdwt/
舌乳头消失	zhengzhuang/srtxs/
舌乳头增生	zhengzhuang/srtzs/
舌苔薄白	zhengzhuang/stbb/
舌苔发黑	zhengzhuang/stfh/
舌苔厚腻	zhengzhuang/sthn/
舌苔黄	zhengzhuang/sth/
舌体大且表面有沟纹	zhengzhuang/stdqbmygw/
舌体肥大	zhengzhuang/stfd/
舌体深裂	zhengzhuang/stsl/
舌痛	zhengzhuang/st/
舌头上有长时间不愈溃疡	zhengzhuang/stsycsjbyky/
舌头震颤	zhengzhuang/stzc/
舌位于口腔底不能外伸	zhengzhuang/swykqdbnws/
舌无力且不能随意伸缩回旋。	zhengzhuang/swlqbnsysshx_/
舌下垂	zhengzhuang/sxc/
舌型骨折	zhengzhuang/sxgz/
舌咽神经损伤	zhengzhuang/sysjss/
舌咽神经痛或其他内脏病引起的晕厥	zhengzhuang/sysjthqtnzbyqdyj/
