百日咳	brk/
恶性营养不良病	exyyblb/
恶性肿瘤所致贫血	exzlszpx/
鳄皮婴儿综合征	epyezhz/
二度房室传导阻滞	edfscdzz/
二尖瓣、主动脉瓣和三尖瓣的合并疾患	ejb_zdmbhsjbdhbjh/
二尖瓣闭锁不全	ejbbsbq/
二氧化氮中毒	eyhdzd/
二氧化硫中毒	eyhlzd/
淋巴癌	lba/
颞叶癫痫	nydx/
发疱性甲虫皮炎	fpxjcpy/
发疹性毳毛囊肿	fzxcmnz/
发作性嗜睡强食综合征	fzxssqszhz/
发作性睡病	fzxsb/
反射性交感神经营养不良综合征	fsxjgsjyyblzhz/
反射性躯体神经病	fsxqtsjb/
躯体性神经病	qtxsjb/
反向斜视	fxxs/
反应性穿孔性胶原病	fyxckxjyb/
反应性浆细胞增多症	fyxjxbzdz/
泛发性扁平黄色瘤	ffxbphsl/
泛发性毛囊错构瘤	ffxmncgl/
泛发性特发性毛细血管扩张	ffxtfxmxxgkz/
范科尼综合征	fknzhz/
房间隔缺损	fjgqs/
房室交接区逸搏和逸搏心律	fsjjqybhybxl/
房室结折返性心动过速	fsjzfxxdgs/
房室折返性心动过速	fszfxxdgs/
房性期前收缩	fxqqss/
房性心动过速伴房室传导阻滞	fxxdgsbfscdzz/
房性逸搏和房性逸搏心律	fxybhfxybxl/
放射性甲状腺炎	fsxjzxy/
放射性皮炎	fsxpy/
放射性肾炎	fsxsy/
放射性食管炎	fsxsgy/
放射性视网膜病变	fsxswmbb/
放射性心包炎	fsxxby/
放射性心脏损害	fsxxzsh/
放射性周围神经病	fsxzwsjb/
非闭塞性肠系膜血管缺血	fbsxcxmxgqx/
非哺乳期乳晕部瘘管	fbrqryblg/
非典型麻疹综合征	fdxmzzhz/
非典型纤维黄色瘤	fdxxwhsl/
非结核分枝杆菌病	fjhfzgjb/
非结核分枝杆菌性角膜炎	fjhfzgjxjmy/
非结核性分枝杆菌病	fjhxfzgjb/
非结核性分枝杆菌关节炎	fjhxfzgjgjy/
非肾上腺素增生性假两性畸形	fssxszsxjlxjx/
非梭状芽胞杆菌肌坏死	fszybgjjhs/
非特异性间质肺炎	ftyxjzfy/
非性病性梅毒	fxbxmd/
非甾体类抗炎药物性肾病	fztlkyywxsb/
非阵发性窦性心动过速	fzfxdxxdgs/
非阵发性交接区性心动过速	fzfxjjqxxdgs/
非洲锥虫病	fzzcb/
肥大细胞白血病	fdxbbxb/
肥大性脊椎炎	fdxjzy/
肥胖性心肌病	fpxxjb/
肺不发育或发育不全	fbfyhfybq/
肺不张	fbz/
肺部粪类圆线虫病	fbflyxcb/
肺部钩虫病	fbgcb/
肺部良性肿瘤	fblxzl/
肺部少见的恶性肿瘤	fbsjdexzl/
肺淀粉样变性	fdfybx/
肺动脉高压	fdmgy/
肺弓形体病	fgxtb/
肺宫崎肺吸虫症	fgqfxcz/
肺蛔虫病	fhcb/
肺棘球蚴病	fjqyb/
肺荚膜组织胞浆菌病	fjmzzbjjb/
肺假性淋巴瘤	fjxlbl/
肺良性淋巴细胞血管炎和肉芽肿病	flxlbxbxgyhryzb/
肺螨病	fmb/
肺毛霉病	fmmb/
肺囊性纤维化	fnxxwh/
肺诺卡菌病	fnkjb/
肺泡通气低下综合征	fptqdxzhz/
肺泡微结石症	fpwjsz/
肺球孢子菌病	fqbzjb_5578/
肺嗜酸细胞组织细胞增生症	fssxbzzxbzsz/
肺嗜酸性粒细胞浸润症	fssxlxbjrz/
肺鼠疫	fsy/
肺炭疽	ftj/
肺血管炎	fxgy/
肺血吸虫病	fxxcb/
肺芽生菌病	fysjb/
肺炎链球菌败血症	fylqjbxz/
肺炎链球菌性肺炎	fylqjxfy/
肺炎衣原体感染	fyyytgr/
肺组织细胞增生症	fzzxbzsz/
费尔蒂综合征	fedzhz/
痱	f/
奋森咽峡炎	fsyxy/
匐行性脉络膜炎	fxxmlmy/
匐行疹	fxz/
辐射性白内障	fsxbnz/
妇产科静脉血栓病	fckjmxsb/
妇女多毛症	fndmz/
妇女雄激素源性秃发	fnxjsyxtf/
附睾畸形	fgjx/
复发性多发性软骨炎伴发的葡萄膜炎	ffxdfxrgybfdptmy/
复发性多软骨炎	ffxdrgy/
复发性多软骨炎性巩膜炎	ffxdrgyxgmy/
复发性风湿病	ffxfsb/
复发性腹股沟疝	ffxfggs/
复发性腹膜后肿瘤	ffxfmhzl/
复发性坏死性黏膜周围炎	ffxhsxnmzwy/
复发性溃疡	ffxky/
复发性卵巢恶性肿瘤	ffxlcexzl/
复发性皮肤坏死性嗜酸粒细胞血管炎	ffxpfhsxsslxbxgy/
复发性外阴阴道念珠菌病	ffxwyydnzjb/
复发性无菌性脑膜炎	ffxwjxnmy/
复发性线性棘层松解性皮肤病	ffxxxjcsjxpfb/
副鼻窦炎	fbdy/
副流行性感冒	flxxgm/
副伤寒	fsh/
副神经节起源的肿瘤	fsjjqydzl/
副神经损伤	fsjss/
副神经损伤与卡压	fsjssyky/
副银屑病	fyxb/
副肿瘤性边缘系统脑炎	fzlxbyxtny/
副肿瘤性脊髓病	fzlxjsb/
副肿瘤性小脑变性	fzlxxnbx/
副肿瘤性斜视性眼肌阵挛-肌阵挛	fzlxxsxyjzl_jzl/
腹壁挫伤	fbcs_5624/
腹壁坏死性筋膜炎	fbhsxjmy/
腹壁间疝	fbjs/
腹壁血栓性静脉炎	fbxsxjmy/
腹壁硬纤维瘤	fbyxwl/
腹部肿块	fbzk/
腹股沟滑动疝	fgghds/
腹股沟滑动性疝	fgghdxs/
腹腔干动脉瘤	fqgdml/
腹腔室隔综合征	fqsgzhz/
腹水	fs_5634/
腹直肌鞘内血肿	fzjqnxz/
腹直肌自发性破裂	fzjzfxpl/
腹主动脉动脉瘤破裂	fzdmdmlpl/
腹主动脉瘤	fzdml/
腹主动脉腔静脉瘘	fzdmqjml/
腹主动脉缩窄	fzdmsz/
葡萄糖磷酸异构酶缺乏症	pttlsygmqfz/
甘露糖苷贮积症	gltgzjz/
杆菌性上皮样血管瘤病	gjxspyxglb/
肝大	gd/
肝淀粉样变性	gdfybx/
肝动脉闭塞	gdmbs/
肝动脉瘤	gdml_5647/
肝肺综合征	gfzhz_5648/
肝母细胞瘤	gmxbl_5649/
肝素诱导性血小板减少症	gsydxxxbjsz/
肝性卟啉病	gxblb/
肝血管肉瘤	gxgrl/
肝炎病毒相关风湿病	gybdxgfsb/
肝脏局灶性结节性增生	gzjzxjjxzs/
肝脏类癌	gzla/
肝脏外伤	gzws/
肝脏血管瘤	gzxgl/
肝脏炎性假瘤	gzyxjl/
肝肿瘤	gzl_5659/
肝紫癜病	gzdb/
感染性疾病所致贫血	grxjbszpx/
感应性妄想性障碍	gyxwxxza/
肛管内括约肌痉挛性收缩	ggnkyjjlxss/
肛管损伤	ggss/
肛管直肠恶性黑色素瘤	ggzcexhssl/
肛管直肠周围脓肿	ggzczwnz/
高催乳素血症	gcrsxz/
高碘性甲状腺肿	gdxjzxz/
高动力性循环	gdlxxh/
高度房室传导阻滞	gdfscdzz/
高钙血症	ggxz/
高钙血症肾病	ggxzsb/
高镁血症	gmxz/
高钠血症	gnxz/
高渗性非酮症高血糖昏迷	gsxftzgxthm/
高渗性非酮症糖尿病昏迷	gsxftztnbhm/
高血压病视网膜病变	gxybswmbb/
高原肺水肿	gyfsz/
高原红细胞增多症	gyhxbzdz/
高原脑水肿	gynsz/
高脂蛋白血症	gzdbxz/
高脂蛋白血症Ⅰ型	gzdbxz_x/
高脂蛋白血症Ⅱ型	gzdbxz_x_5683/
高脂蛋白血症Ⅲ型	gzdbxz_x_5684/
高脂蛋白血症Ⅳ型	gzdbxz_x_5685/
高脂蛋白血症Ⅴ型	gzdbxz_x_5686/
高脂血症	gzxz/
高致病性禽流感病毒感染	gzbxqlgbdgr/
睾丸淋巴瘤	gwlbl/
睾丸损伤	gwss/
格子状角膜营养不良	gzzjmyybl/
工业中毒所致的精神障碍	gyzdszdjsza/
弓形体病性巩膜炎	gxtbxgmy/
肱二头肌长头腱鞘炎	getjctjqy/
肱骨大结节骨折	ggdjjgz/
肱骨头骨折	ggtgz_5696/
宫颈浸润癌	gjjra/
宫颈上皮内瘤变	gjspnlb/
宫腔积脓	gqjn/
钩端螺旋体病神经系统表现	gdlxtbsjxtbx/
钩端螺旋体肺炎	gdlxtfy/
枸橼酸杆菌肺炎	gysgjfy/
股动脉损伤	gdmss_5703/
股骨转子下骨折	ggzzxgz/
股神经卡压综合征	gsjkyzhz/
股神经损伤	gsjss/
股四头肌肌腱断裂	gstjjjdl/
股外侧皮神经卡压综合征	gwcpsjkyzhz/
股外侧皮神经炎	gwcpsjy/
股癣	gx_5710/
骨恶性纤维组织细胞瘤	gexxwzzxbl/
骨神经纤维瘤	gsjxwl/
骨嗜酸性肉芽肿	gssxryz/
骨髓病性贫血	gsbxpx/
骨血管肉瘤	gxgrl_5715/
骨血管外皮细胞瘤	gxgwpxbl/
鼓膜穿孔	gmck/
冠状动脉瘤	gzdml/
冠状动脉异常起源于肺动脉	gzdmycqyyfdm/
冠状动脉异常起源主动脉	gzdmycqyzdm/
管状小汗腺癌	gzxhxa/
光气中毒	gqzd/
光线性弹力纤维病	gxxdlxwb/
光泽苔藓	gztx/
广泛性焦虑障碍	gfxjlza/
广州管圆线虫病	gzgyxcb/
龟分枝杆菌感染	gfzgjgr/
龟头炎	gty/
腘动脉瘤	gdml_5729/
腘动脉破裂	gdmpl/
过度通气综合征	gdtqzhz/
过敏性肉芽肿性血管炎相关巩膜炎	gmxryzxxgyxggmy/
过敏性血管炎和肉芽肿病	gmxxgyhryzb/
过敏性阴道炎	gmxydy/
过敏性支气管肺曲霉病	gmxzqgfqmb/
HIV相关呼吸道感染	hivxghxdgr/
Hughes-Stovin综合征	hughes_stovinzhz/
非火器性颅脑开放伤	fhqxlnkfs/
海胆刺伤及海胆肉芽肿	hdcsjhdryz/
海洛因肾脏病	hlyszb/
海绵状血管瘤血小板减少综合征	hmzxglxxbjszhz/
海鱼分枝杆菌感染	hyfzgjgr/
寒冷性脂膜炎	hlxzmy/
汉德-许勒尔-克思斯琴病	hd_xle_kssqb/
汉坦病毒肺综合征	htbdfzhz/
汗管棘皮瘤	hgjpl/
汗孔周围炎及多发性汗腺脓肿	hkzwyjdfxhxnz/
汗疱症	hpz/
汗腺癌	hxa/
合并马蹄肾的腹主动脉瘤	hbmtsdfzdml/
合成树脂皮炎	hcszpy/
合成树脂与塑料所致的皮肤病	hcszyslszdpfb/
黑棘皮瘤	hjpl/
黑色丘疹性皮肤病	hsqzxpfb/
黑癣	hx/
亨廷顿病	htdb/
亨廷顿病性痴呆	htdbxcd/
横位难产	hwnc/
红细胞生成性原卟啉病	hxbscxyblb/
红细胞增多症视网膜病变	hxbzdzswmbb/
红细胞增多症眼底	hxbzdzyd/
红癣	hx_5762/
虹膜角膜内皮综合征	hmjmnpzhz/
虹膜新生血管	hmxsxg/
喉返神经损伤	hfsjss/
后壁穿孔性溃疡	hbckxky/
后部多形性角膜营养不良	hbdxxjmyybl/
后发性白内障	hfxbnz/
后十字韧带损伤	hszrdss/
后天性大疱性表皮松解	htxdpxbpsj/
胡桃夹食管	htjsg/
华支睾吸虫病	hzgxcb/
滑脱性肋骨综合征	htxlgzhz/
化脓性腱鞘炎	hnxjqy/
化脓性颅骨骨髓炎	hnxlggsy/
化脓性门静脉炎	hnxmjmy/
化脓性脑膜炎	hnxnmy/
化脓性盆腔血栓静脉炎	hnxpqxsjmy/
化脓性眼内炎	hnxyny/
化脓性指头炎	hnxzty/
化妆品皮炎	hzppy/
踝关节骨折	hgjgz/
踝关节结核	hgjjh/
踝关节脱位	hgjtw/
坏死性结节病样肉芽肿病	hsxjjbyryzb/
坏死性筋膜炎	hsxjmy/
环状红斑	hzhb/
环状外阴炎	hzwyy/
寰椎骨折	hzgz/
黄斑囊样水肿	hbnysz/
黄色瘤	hsl/
黄色肉芽肿性肾盂肾炎	hsryzxsysy/
黄体囊肿	htnz/
灰泥角化病	hnjhb/
回旋状脉络膜视网膜萎缩	hxzmlmswmws/
蛔虫性急性胰腺炎	hcxjxyxy/
会阴下降综合征	hyxjzhz/
混合型卟啉病	hhxblb/
混合型慢性高原病	hhxmxgyb/
混合型肾小管性酸中毒	hhxsxgxszd/
混合性结缔组织病	hhxjdzzb/
火器性颅脑损伤	hqxlnss/
获得性高脂蛋白血症	hdxgzdbxz/
获得性免疫缺陷综合征	hdxmyqxzhz/
获得性免疫缺陷综合征的神经系统表现	hdxmyqxzhzdsjxtbx/
获得性免疫缺陷综合征的消化系统损害	hdxmyqxzhzdxhxtsh/
获得性免疫缺陷综合征的心血管损害	hdxmyqxzhzdxxgsh/
获得性免疫缺陷综合征视网膜病变	hdxmyqxzhzswmbb/
获得性免疫缺陷综合征相关淋巴瘤	hdxmyqxzhzxglbl/
获得性视网膜大动脉瘤	hdxswmddml/
获得性视网膜劈裂	hdxswmpl/
获得性维生素K依赖性凝血因子异常	hdxwsskylxnxyzyc/
肌病肾病性代谢综合征	jbsbxdxzhz/
肌疝	js/
肌阵挛性小脑协调障碍	jzlxxnxdza/
基底核钙化症	jdhghz/
激素抵抗型哮喘	jsdkxxc/
极外侧型腰椎间盘突出症	jwcxyzjptcz/
急进性肾小球肾炎	jjxsxqsy/
急性肠系膜上动脉梗死	jxcxmsdmgs/
急性肠系膜上动脉栓塞或血栓形成	jxcxmsdmsshxsxc/
急性肠系膜上静脉血栓形成	jxcxmsjmxsxc/
急性非特异性睾丸炎	jxftyxgwy/
急性附件炎	jxfjy/
急性梗阻性化脓性胆管炎	jxgzxhnxdgy/
急性化脓性脊髓炎	jxhnxjsy/
急性化脓性甲状腺炎	jxhnxjzxy/
急性间质性肺炎	jxjzxfy/
急性减压性骨坏死	jxjyxghs/
急性弥漫性腹膜炎	jxmmxfmy/
急性糜烂性胃炎	jxmlxwy/
急性脑内血肿	jxnnxz/
急性盆腔炎	jxpqy/
急性气管支气管炎	jxqgzqgy/
急性全自主神经失调症	jxqzzsjsdz/
急性乳突炎	jxrty/
急性视网膜色素上皮炎	jxswmssspy/
急性嗜酸性粒细胞性肺炎	jxssxlxbxfy/
急性髓细胞白血病	jxsxbbxb/
急性特发性心包炎	jxtfxxby/
急性妄想发作	jxwxfz/
急性右侧心力衰竭	jxycxlsj/
急性杂合性白血病	jxzhxbxb/
急性早幼粒细胞白血病	jxzylxbbxb/
急性脂肪皮肤硬化症	jxzfpfyhz/
急性左侧心力衰竭	jxzcxlsj/
疾病恐怖	jbkb/
棘阿米巴性巩膜炎	jambxgmy/
棘阿米巴性角膜炎	jambxjmy/
棘球蚴病	jqyb/
棘上韧带损伤	jsrdss/
集聚肠杆菌感染	jjcgjgr/
己糖激酶缺乏症	jtjmqfz/
挤奶者结节	jnzjj/
脊膜膨出与脊膜脊髓膨出	jmpcyjmjspc/
脊髓海绵状血管瘤	jshmzxgl/
脊髓后动脉缺血症候群	jshdmqxzhq/
脊髓内出血	jsncx/
脊髓内脓肿	jsnnz/
脊髓前动脉综合征	jsqdmzhz/
脊髓前中央动脉缺血症候群	jsqzydmqxzhq/
脊髓缺血	jsqx/
脊髓刃器伤	jsrqs/
脊髓神经鞘瘤	jssjql/
脊髓栓系综合征	jssxzhz/
脊髓性肌萎缩	jsxjws/
脊柱脊髓损伤	jzjsss/
继发性单克隆免疫球蛋白病	jfxdklmyqdbb/
继发性腹膜炎	jfxfmy/
继发性骨髓纤维化	jfxgsxwh/
继发性红细胞增多症	jfxhxbzdz/
继发性化脓性腹膜炎	jfxhnxfmy/
继发性皮肤CD30阳性大细胞淋巴瘤	jfxpfcd30yxdxblbl/
继发性皮肤滤泡中心细胞性淋巴瘤	jfxpflpzxxbxlbl/
继发性痛经	jfxtj/
继发性系统性淀粉样变	jfxxtxdfyb/
继发性血小板增多症	jfxxxbzdz/
继发性粘连性蛛网膜炎	jfxzlxzwmy/
继发于严重肝疾患的棘红细胞增多症	jfyyzgjhdjhxbzdz/
寄生虫妄想	jscwx/
寄生虫性关节炎	jscxgjy/
寄生虫性尿路感染	jscxnlgr/
加利福尼亚脑炎	jlfnyny/
加速性房性逸搏心律	jsxfxybxl/
加速性室性自主心律	jsxsxzzxl/
家族性出血性肾炎	jzxcxxsy/
家族性地中海热	jzxdzhr/
家族性高胆固醇血症	jzxgdgcxz/
家族性红细胞增多症	jzxhxbzdz/
家族性混合型高脂血症	jzxhhxgzxz/
家族性甲状腺非髓样癌	jzxjzxfsya/
家族性抗维生素D佝偻病	jzxkwssdglb/
家族性良性天疱疮	jzxlxtpc/
家族性黏液血管纤维瘤	jzxnyxgxwl/
家族性渗出性玻璃体视网膜病变	jzxscxbltswmbb/
家族性异常β脂蛋白血症	jzxyczdbxz/
家族性载脂蛋白B100缺陷症	jzxzzdbb100qxz/
荚膜组织胞浆菌病	jmzzbjjb/
甲亢性心脏病	jkxxzb/
甲良性肿瘤	jlxzl/
甲内型甲真菌病	jnxjzjb/
甲下外生骨疣	jxwsgy/
甲型病毒性肝炎	jxbdxgy/
甲状旁腺功能减退性心肌病	jzpxgnjtxxjb/
甲状旁腺功能减退症	jzpxgnjtz/
甲状旁腺功能亢进性心肌病	jzpxgnkjxxjb/
甲状旁腺功能异常伴发的精神障碍	jzpxgnycbfdjsza/
甲状腺功能减退症	jzxgnjtz/
甲状腺功能亢进性骨矿疾病	jzxgnkjxgkjb/
甲状腺功能亢进性心肌病	jzxgnkjxxjb/
甲状腺功能亢进症的肾损害	jzxgnkjzdssh/
甲状腺功能异常伴发的精神障碍	jzxgnycbfdjsza/
甲状腺结核	jzxjh/
贾第虫病	jdcb/
假斑秃	jbt/
假性高血压	jxgxy/
假性黑棘皮病	jxhjpb/
肩峰下撞击征	jfxzjz/
肩关节不稳定	jgjbwd/
肩胛背神经卡压症	jjbsjkyz/
肩胛骨体部骨折	jjgtbgz/
肩胛颈及肩胛盂骨折	jjjjjjygz/
肩胛上神经卡压症	jjssjkyz/
肩袖间隙分裂	jxjxfl/
肩袖损伤	jxss/
睑球粘连	jqzl/
腱鞘巨细胞瘤	jqjxbl/
腱鞘囊肿	jqnz/
交叉性异位肾	jcxyws/
交感神经链综合征	jgsjlzhz/
胶质母细胞瘤	jzmxbl/
角层下脓疱性皮肤病	jcxnpxpfb/
角化棘皮瘤	jhjpl/
角膜鳞状细胞癌	jmlzxba/
脚癣	jx_5935/
接触性唇炎	jcxcy/
节段性透明性血管炎	jdxtmxxgy/
洁癖	jp/
结肠类癌	jcla/
结肠破裂	jcpl/
结肠血管畸形	jcxgjx/
结肠血管扩张症	jcxgkzz/
结核性巩膜炎	jhxgmy/
结核性脊髓炎	jhxjsy/
结核性角膜病变	jhxjmbb/
结核性胸膜炎	jhxxmy/
结核性阴道炎	jhxydy/
结节性脆发病	jjxcfb/
结节性多动脉炎性巩膜炎	jjxddmyxgmy/
结节性筋膜炎	jjxjmy/
结节性血管炎	jjxxgy/
结节性痒疹	jjxyz/
结节性脂肪坏死	jjxzfhs/
结直肠血管瘤	jzcxgl/
睫状环阻滞性青光眼	jzhzzxqgy/
睫状体黑色素瘤	jzthssl/
戒酒综合征	jjzhz/
金黄色葡萄球菌性边缘性角膜炎	jhsptqjxbyxjmy/
金属性变色	jsxbs/
金属引起的口腔黏膜疾病	jsyqdkqnmjb/
筋膜间隔区综合征	jmjgqzhz/
近视	js_5962/
进行性骨干发育不良	jxxggfybl/
进行性肌营养不良症	jxxjyyblz/
进行性色素性紫癜性皮病	jxxssxzdxpb/
进行性脂肪营养不良	jxxzfyybl/
浸渍足	jzz/
经膈肌肋间疝	jgjljs/
晶状体膨胀所致青光眼	jztpzszqgy/
晶状体溶解性青光眼	jztrjxqgy/
晶状体脱位所致青光眼	jzttwszqgy/
晶状体相关葡萄膜炎	jztxgptmy/
晶状体异位	jztyw/
精囊恶性肿瘤	jnexzl/
精囊结石	jnjs/
精囊囊肿	jnnz/
颈部脊髓损伤	jbjsss/
颈部开放性损伤	jbkfxss/
颈部勒伤	jbls/
颈部血管瘤	jbxgl/
颈部血管损伤	jbxgss/
颈丛神经卡压症	jcsjkyz/
颈动脉创伤性栓塞	jdmcsxss/
颈动脉窦综合征	jdmdzhz/
颈动脉海绵窦瘘	jdmhmdl/
颈动脉狭窄	jdmxz/
颈静脉球瘤	jjmql/
颈肋	jl/
颈肋畸形	jljx/
颈神经背支卡压症	jsjbzkyz/
颈型颈椎病	jxjzb/
颈腰综合征	jyzhz_5992/
颈椎骨折伴脱位的损伤	jzgzbtwdss/
颈椎椎体楔形压缩骨折	jzztxxysgz/
胫骨后唇骨折	jghcgz/
胫骨应力骨折	jgylgz/
胫骨远端爆裂骨折	jgydblgz/
胫后神经损伤	jhsjss/
痉挛性肠梗阻	jlxcgz/
痉挛性脑瘫	jlxnt/
静脉血栓形成	jmxsxc/
静脉炎	jmy/
酒精性弱视	jjxrs/
酒精中毒性神经疾病	jjzdxsjjb/
酒中毒性痴呆	jzdxcd/
酒中毒性小脑变性	jzdxxnbx/
酒中毒性周围神经病	jzdxzwsjb/
局限性硬皮病	jxxypb/
局灶性节段性肾小球硬化	jzxjdxsxqyh/
巨大裂孔性视网膜脱离	jdlkxswmtl/
巨大胎儿	jdte/
巨大血小板病	jdxxbb/
巨乳头性结膜炎	jrtxjmy/
巨舌	js_6014/
巨吻棘头虫病	jwjtcb/
巨细胞病毒病	jxbbdb/
巨细胞病毒性葡萄膜炎	jxbbdxptmy/
巨细胞动脉炎性巩膜炎	jxbdmyxgmy/
绝经	jj/
绝经后骨质疏松	jjhgzss/
绝经后卵巢恶性肿瘤	jjhlcexzl/
绝经后子宫颈癌	jjhzgja/
绝经后子宫内膜癌	jjhzgnma/
绝经期关节炎	jjqgjy/
绝经期尿路感染	jjqnlgr/
绝经期尿失禁	jjqnsj/
绝经期盆腔脏器脱垂	jjqpqzqtc/
绝经期乳腺癌	jjqrxa/
绝经与阿尔茨海默病综合征	jjyaechmbzhz/
绝经与心血管疾病	jjyxxgjb/
绝经与抑郁症	jjyyyz/
军刀综合征	jdzhz/
侵袭性指趾乳头状腺癌	qxxzzrtzxa/
神经棘红细胞增多症	sjjhxbzdz/
萎缩侧索硬化	wscsyh/
Kimura病	kimurab/
骶髂关节扭伤或半脱位	dqgjnshbtw/
卡普兰综合征	kplzhz/
卡氏肺孢子虫肺炎	ksfbzcfy/
卡氏肺囊虫病	ksfncb/
卡他莫拉菌感染	ktmljgr/
康诺尔立克次体斑疹热	knelkctbzr/
糠秕孢子菌毛囊炎	kbbzjmny/
抗活化的蛋白C症	khhddbcz/
抗菌药中毒性肾病	kjyzdxsb/
抗利尿激素分泌异常综合征	klnjsfmyczhz/
抗磷脂抗体综合征	klzktzhz/
抗体免疫缺陷病	ktmyqxb/
抗胰蛋白酶缺乏症	kydbmqfz/
考登病中的多发性毛鞘瘤	kdbzddfxmql/
柯莱斯骨折	klsgz/
柯萨奇病毒感染	ksqbdgr/
科干综合征	kgzhz/
科罗拉多蜱热	klldpr/
颗粒细胞瘤	klxbl/
咳嗽性哮喘	ksxxc/
咳嗽晕厥综合征	ksyjzhz/
克里格勒-纳贾尔综合征	klgl_njezhz/
克里米亚-刚果出血热	klmy_ggcxr/
克罗伊茨费尔特-雅各布病	klycfet_ygbb/
空鞍综合征	kazhz/
空肠、回肠憩室	kc_hcqs/
空肠弯曲菌肠炎	kcwqjcy/
空气栓塞	kqss/
口腔黏膜白斑	kqnmbb/
口形红细胞增多症	kxhxbzdz/
髋关节后脱位	kgjhtw/
眶骨髓炎	kgsy/
眶内纤维组织细胞瘤	knxwzzxbl/
溃疡病穿孔	kybck/
溃疡坏死性口炎	kyhsxky/
溃疡性皮肤结核	kyxpfjh/
扩张孔	kzk/
橄榄体脑桥小脑萎缩	gltnqxnws/
骨淋巴管瘤	glbgl/
拉福拉病	lflb/
拉沙热	lsr/
拉休尤-格拉哈姆-利特尔综合征	lxy_glhm_ltezhz/
蜡样芽孢杆菌食物中毒	lyybgjswzd/
莱姆心脏炎	lmxzy/
莱特雷尔-西韦病	ltle_xwb/
赖利-戴综合征	ll_dzhz/
赖氏综合征	lszhz_6083/
赖特综合征	ltzhz/
兰伯特-伊顿综合征	lbt_ydzhz/
阑尾腺癌	lwxa/
阑尾肿瘤	lwzl/
懒惰白细胞综合征	ldbxbzhz/
朗汉斯细胞的组织细胞增多症	lhsxbdzzxbzdz/
老年癌症病人的急性感染	lnazbrdjxgr/
老年斑	lnb_6091/
老年便秘	lnbm/
老年低温症	lndwz/
老年跌倒	lndd/
老年急性动脉栓塞	lnjxdmss/
老年静脉血栓症	lnjmxsz/
老年久病卧床	lnjbwc/
老年挛缩	lnls/
老年男性性功能障碍	lnnxxgnza/
老年女性膀胱颈梗阻	lnnxbgjgz/
老年期谵妄	lnqzw/
老年人白细胞减少症和粒细胞缺乏症	lnrbxbjszhlxbqfz/
老年人败血症	lnrbxz/
老年人膀胱癌	lnrbga/
老年人变异型心绞痛	lnrbyxxjt/
老年人病毒性肝炎	lnrbdxgy/
老年人病态窦房结综合征	lnrbtdfjzhz/
老年人播散性血管内凝血	lnrbsxxgnnx/
老年人不稳定型心绞痛	lnrbwdxxjt/
老年人肠易激综合征	lnrcyjzhz/
老年人垂体瘤	lnrctl/
老年人大肠肿瘤	lnrdczl/
老年人代谢性碱中毒	lnrdxxjzd/
老年人代谢性酸中毒	lnrdxxszd/
老年人单纯疱疹病毒性脑炎	lnrdcpzbdxny/
老年人胆囊癌	lnrdna/
老年人胆囊炎	lnrdny/
老年人胆石症	lnrdsz/
老年人低钙血症	lnrdgxz/
老年人低钾血症	lnrdjxz/
老年人低钠血症	lnrdnxz/
老年人低血糖昏迷	lnrdxthm/
老年人低血糖症	lnrdxtz/
老年人低血压	lnrdxy/
老年人短暂性大脑缺血性发作	lnrdzxdnqxxfz/
老年人多发性骨髓瘤	lnrdfxgsl/
老年人多器官功能衰竭	lnrdqggnsj/
老年人恶性心包积液	lnrexxbjy/
老年人非霍奇金恶性淋巴肿瘤	lnrfhqjexlbzl/
老年人肥厚型心肌病	lnrfhxxjb/
老年人肥胖症	lnrfpz/
老年人肺癌	lnrfa/
老年人肺结核	lnrfjh/
老年人肺结核病	lnrfjhb/
老年人肺脓肿	lnrfnz/
老年人肺气肿	lnrfqz/
老年人肺栓塞	lnrfss/
老年人肺心病	lnrfxb/
老年人肺性脑病	lnrfxnb/
老年人肺炎	lnrfy/
老年人分水岭脑梗死	lnrfslngs/
老年人风湿性心脏病	lnrfsxxzb/
老年人腹主动脉瘤	lnrfzdml/
老年人钙化性瓣膜病	lnrghxbmb/
老年人肝性脑病	lnrgxnb/
老年人肝硬化	lnrgyh/
老年人感染性休克	lnrgrxxk/
老年人高钙血症	lnrggxz/
老年人高钾血症	lnrgjxz/
老年人高钠血症	lnrgnxz/
老年人高渗性非酮症糖尿病昏迷	lnrgsxftztnbhm/
老年人高血压	lnrgxy/
老年人高血压危象	lnrgxywx/
老年人高脂血症	lnrgzxz/
老年人梗阻性肾病	lnrgzxsb/
老年人骨关节炎	lnrggjy/
老年人骨髓增生异常综合征	lnrgszsyczhz/
老年人骨质疏松	lnrgzss/
老年人过敏性紫癜	lnrgmxzd/
老年人呼吸衰竭	lnrhxsj/
老年人呼吸性酸中毒	lnrhxxszd/
老年人环咽肌功能障碍	lnrhyjgnza/
老年人霍奇金淋巴瘤	lnrhqjlbl/
老年人急腹症	lnrjfz/
老年人急进性肾炎	lnrjjxsy/
老年人急性非淋巴细胞白血病	lnrjxflbxbbxb/
老年人急性感染后肾炎	lnrjxgrhsy/
老年人急性呼吸窘迫综合征	lnrjxhxjpzhz/
老年人急性阑尾炎	lnrjxlwy/
老年人急性淋巴细胞白血病	lnrjxlbxbbxb/
老年人急性肾功能衰竭	lnrjxsgnsj/
